All overheads expressed in microseconds
Ntasks	Overhead per task
2	0.0310
4	0.0142
6	0.0044
8	0.0079
10	0.0106
12	0.0056
14	0.0032
16	-0.0003
18	-0.0006
20	-0.0012
22	-0.0024
24	-0.0025
26	-0.0031
28	-0.0029
30	-0.0025
32	-0.0045
34	-0.0049
36	-0.0052
38	-0.0065
40	-0.0058
42	-0.0058
44	-0.0064
46	-0.0061
48	-0.0058
50	-0.0074
52	-0.0067
54	-0.0070
56	-0.0076
58	-0.0070
60	-0.0074
62	-0.0075
64	-0.0073
