All overheads expressed in microseconds
Nthr	Overhead	Overhead per thread
2	1.8196		0.9098
3	1.7956		0.5985
4	2.2886		0.5722
5	2.6784		0.5357
6	2.7583		0.4597
7	2.5653		0.3665
8	2.9246		0.3656
9	3.3470		0.3719
10	3.3101		0.3310
11	4.0002		0.3637
12	3.2995		0.2750
13	3.8062		0.2928
14	4.4083		0.3149
15	3.8685		0.2579
16	4.5430		0.2839
17	4.5226		0.2660
18	4.2085		0.2338
19	4.4297		0.2331
20	4.4176		0.2209
21	4.7886		0.2280
22	5.1388		0.2336
23	5.2041		0.2263
24	6.7303		0.2804
