	MAIN_TAREADOR	init_A	init_B	dot_product	
THREAD 1.1.1	16000.00	0.00	0.00	0.00	
THREAD 1.1.2	0.00	229000.00	0.00	0.00	
THREAD 1.1.3	0.00	0.00	261000.00	0.00	
THREAD 1.1.4	0.00	0.00	0.00	104728000.00	

Total	16000.00	229000.00	261000.00	104728000.00	
Average	16000.00	229000.00	261000.00	104728000.00	
Maximum	16000.00	229000.00	261000.00	104728000.00	
Minimum	16000.00	229000.00	261000.00	104728000.00	
Stdev	0.00	0.00	0.00	0.00	
Avg/Max	1.00	1.00	1.00	1.00	

