	MAIN_TAREADOR	multisort_1	multisort_2	multisort_3	multisort_4	merge_in_sort_1	merge_1	merge_2	merge_in_sort_2	merge_in_sort_3	
THREAD 1.1.59	0.00	0.00	0.00	0.00	0.00	36000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.60	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.61	0.00	0.00	0.00	0.00	0.00	0.00	10301000.00	0.00	0.00	0.00	
THREAD 1.1.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.63	0.00	0.00	0.00	0.00	0.00	0.00	11249000.00	0.00	0.00	0.00	
THREAD 1.1.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41000.00	0.00	
THREAD 1.1.65	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.66	0.00	0.00	0.00	0.00	0.00	0.00	10301000.00	0.00	0.00	0.00	
THREAD 1.1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.68	0.00	0.00	0.00	0.00	0.00	0.00	10870000.00	0.00	0.00	0.00	
THREAD 1.1.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35000.00	
THREAD 1.1.70	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.71	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.72	0.00	0.00	0.00	0.00	0.00	0.00	10301000.00	0.00	0.00	0.00	
THREAD 1.1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.74	0.00	0.00	0.00	0.00	0.00	0.00	11260000.00	0.00	0.00	0.00	
THREAD 1.1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.76	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.77	0.00	0.00	0.00	0.00	0.00	0.00	11268000.00	0.00	0.00	0.00	
THREAD 1.1.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.79	0.00	0.00	0.00	0.00	0.00	0.00	11222000.00	0.00	0.00	0.00	
THREAD 1.1.80	0.00	0.00	0.00	0.00	28000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.81	0.00	1215870000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.82	0.00	0.00	1224899000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.83	0.00	0.00	0.00	1239849000.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.84	0.00	0.00	0.00	0.00	1232701000.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.85	0.00	0.00	0.00	0.00	0.00	36000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.86	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.87	0.00	0.00	0.00	0.00	0.00	0.00	10301000.00	0.00	0.00	0.00	
THREAD 1.1.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.89	0.00	0.00	0.00	0.00	0.00	0.00	11123000.00	0.00	0.00	0.00	
THREAD 1.1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41000.00	0.00	
THREAD 1.1.91	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.92	0.00	0.00	0.00	0.00	0.00	0.00	10301000.00	0.00	0.00	0.00	
THREAD 1.1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.94	0.00	0.00	0.00	0.00	0.00	0.00	11032000.00	0.00	0.00	0.00	
THREAD 1.1.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35000.00	
THREAD 1.1.96	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.97	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.98	0.00	0.00	0.00	0.00	0.00	0.00	10301000.00	0.00	0.00	0.00	
THREAD 1.1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.100	0.00	0.00	0.00	0.00	0.00	0.00	11134000.00	0.00	0.00	0.00	
THREAD 1.1.101	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.102	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.103	0.00	0.00	0.00	0.00	0.00	0.00	11384000.00	0.00	0.00	0.00	
THREAD 1.1.104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.105	0.00	0.00	0.00	0.00	0.00	0.00	11249000.00	0.00	0.00	0.00	
THREAD 1.1.106	0.00	0.00	0.00	0.00	0.00	36000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.107	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.108	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.109	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.110	0.00	0.00	0.00	0.00	0.00	0.00	10301000.00	0.00	0.00	0.00	
THREAD 1.1.111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.112	0.00	0.00	0.00	0.00	0.00	0.00	11260000.00	0.00	0.00	0.00	
THREAD 1.1.113	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.114	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.115	0.00	0.00	0.00	0.00	0.00	0.00	11258000.00	0.00	0.00	0.00	
THREAD 1.1.116	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.117	0.00	0.00	0.00	0.00	0.00	0.00	11268000.00	0.00	0.00	0.00	
THREAD 1.1.118	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.119	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.120	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.121	0.00	0.00	0.00	0.00	0.00	0.00	11508000.00	0.00	0.00	0.00	
THREAD 1.1.122	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.123	0.00	0.00	0.00	0.00	0.00	0.00	11394000.00	0.00	0.00	0.00	
THREAD 1.1.124	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.125	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.126	0.00	0.00	0.00	0.00	0.00	0.00	10400000.00	0.00	0.00	0.00	
THREAD 1.1.127	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.128	0.00	0.00	0.00	0.00	0.00	0.00	11248000.00	0.00	0.00	0.00	
THREAD 1.1.129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41000.00	0.00	
THREAD 1.1.130	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.131	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.132	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.133	0.00	0.00	0.00	0.00	0.00	0.00	10301000.00	0.00	0.00	0.00	
THREAD 1.1.134	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.135	0.00	0.00	0.00	0.00	0.00	0.00	11144000.00	0.00	0.00	0.00	
THREAD 1.1.136	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.137	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.138	0.00	0.00	0.00	0.00	0.00	0.00	11268000.00	0.00	0.00	0.00	
THREAD 1.1.139	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.140	0.00	0.00	0.00	0.00	0.00	0.00	11394000.00	0.00	0.00	0.00	
THREAD 1.1.141	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.142	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.143	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.144	0.00	0.00	0.00	0.00	0.00	0.00	11508000.00	0.00	0.00	0.00	
THREAD 1.1.145	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.146	0.00	0.00	0.00	0.00	0.00	0.00	11384000.00	0.00	0.00	0.00	
THREAD 1.1.147	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.148	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.149	0.00	0.00	0.00	0.00	0.00	0.00	11268000.00	0.00	0.00	0.00	
